0.0297915;0.416668;0.289296;0.127088;-0.0383764;0.305145;0.326439;-0.0157554;0.459087;
-0.48932;0.328258;0.0229053;-0.162602;-0.129657;0.260321;0.137135;-0.102929;0.263257;
-0.606315;0.329824;0.00628777;-0.21982;-0.141887;0.261071;0.111562;-0.109611;0.23614;
-0.646;0.348128;0.0358377;-0.232558;-0.140716;0.270395;0.114091;-0.102938;0.237879;
-0.672316;0.368608;0.0697058;-0.241262;-0.137982;0.280346;0.121093;-0.093828;0.245017;
-0.709404;0.386659;0.0978894;-0.254309;-0.135551;0.289251;0.126727;-0.0852765;0.249555;
-0.739004;0.407784;0.134621;-0.259082;-0.131281;0.298979;0.135715;-0.0753758;0.257472;
-0.766332;0.426192;0.166416;-0.267324;-0.128383;0.30823;0.143801;-0.0662546;0.26295;
-0.805232;0.444274;0.196581;-0.277324;-0.126307;0.317474;0.150176;-0.0582969;0.267175;
-0.837698;0.463739;0.228526;-0.284803;-0.122071;0.326576;0.159289;-0.0495991;0.274944;
-0.863947;0.482502;0.261255;-0.29134;-0.119113;0.335825;0.166691;-0.0422504;0.279952;
-0.883231;0.501271;0.297337;-0.294975;-0.114771;0.345603;0.17639;-0.0321722;0.288112;
-0.919141;0.518548;0.326631;-0.305837;-0.113297;0.353092;0.17932;-0.0241713;0.292695;
-0.949966;0.536537;0.359201;-0.311891;-0.109772;0.361228;0.186971;-0.0151204;0.298056;
-0.969549;0.555935;0.394814;-0.313614;-0.10496;0.370218;0.198582;-0.00487496;0.306807;
-1.01447;0.569974;0.420373;-0.326629;-0.104224;0.377741;0.201996;0.00178285;0.306299;
-1.04043;0.588113;0.45003;-0.333889;-0.101911;0.386221;0.210456;0.0104851;0.314834;
-1.06784;0.605297;0.481485;-0.338851;-0.0977235;0.394982;0.220008;0.0198192;0.321644;
-1.10847;0.617962;0.502383;-0.352328;-0.0972316;0.402204;0.225998;0.02694;0.325148;
-1.11272;0.641228;0.547607;-0.344783;-0.0899985;0.412561;0.242311;0.0384729;0.336953;
-1.15582;0.653427;0.570005;-0.359222;-0.0887521;0.418959;0.245826;0.0438457;0.33803;
-1.18416;0.669632;0.601614;-0.365401;-0.0854155;0.426082;0.254415;0.0520685;0.344507;
-1.21504;0.684882;0.632888;-0.371685;-0.0824115;0.433532;0.261919;0.0602334;0.350369;
-1.24229;0.699894;0.664431;-0.378647;-0.0793847;0.440592;0.270008;0.0688218;0.355468;
-1.26494;0.716013;0.696803;-0.383122;-0.0758856;0.44843;0.280239;0.0778314;0.362125;
-1.29442;0.731951;0.728575;-0.389969;-0.0727144;0.455735;0.289038;0.0860127;0.367216;
-1.32089;0.744659;0.755506;-0.395434;-0.0705316;0.462186;0.296521;0.0942679;0.371707;
-1.34637;0.758489;0.783213;-0.401947;-0.0677187;0.468666;0.303329;0.101634;0.375319;
-1.3691;0.77382;0.813264;-0.40536;-0.0633888;0.475651;0.314205;0.110414;0.383237;
